what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555036115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555037240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555038683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332555082932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332555170967
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555220142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555220244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555241348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555241431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332555243398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555289297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555289361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332555291051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332555306793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332555309378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557491431
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332557493977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557498312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557511426
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332557511594
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1332557511675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1332557513337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332557514207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332557516759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557520990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557521084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332557534736
